lsu_Station,lsu_Date,lsu_Time.CTD.Cast.began..UTC.,lsu_Lat,lsu_Long,lsu_Corrected.DO..mg.L.,lsu_Surface.Sal..psu.,lsu_Surface.Chl...µg.L.,usm_Lat_actual,usm_Lon_actual,usm_hypClass,usm_maxDepth_m,usm_DOatMaxD,usm_minHypD,usm_maxHypD,usm_DOminHypD,usm_DOmaxHypD,usm_hypThick_m,haver_distance_m,usm_labels,DATE,site_id,latitude,longitude,imageName,nGoodPixels,matchSpec_CV,time_sep_days,avw,PRrs346,PRrs348,PRrs351,PRrs353,PRrs356,PRrs358,PRrs361,PRrs363,PRrs366,PRrs368,PRrs371,PRrs373,PRrs375,PRrs378,PRrs380,PRrs383,PRrs385,PRrs388,PRrs390,PRrs393,PRrs395,PRrs398,PRrs400,PRrs403,PRrs405,PRrs408,PRrs410,PRrs413,PRrs415,PRrs418,PRrs420,PRrs422,PRrs425,PRrs427,PRrs430,PRrs432,PRrs435,PRrs437,PRrs440,PRrs442,PRrs445,PRrs447,PRrs450,PRrs452,PRrs455,PRrs457,PRrs460,PRrs462,PRrs465,PRrs467,PRrs470,PRrs472,PRrs475,PRrs477,PRrs480,PRrs482,PRrs485,PRrs487,PRrs490,PRrs492,PRrs495,PRrs497,PRrs500,PRrs502,PRrs505,PRrs507,PRrs510,PRrs512,PRrs515,PRrs517,PRrs520,PRrs522,PRrs525,PRrs527,PRrs530,PRrs532,PRrs535,PRrs537,PRrs540,PRrs542,PRrs545,PRrs547,PRrs550,PRrs553,PRrs555,PRrs558,PRrs560,PRrs563,PRrs565,PRrs568,PRrs570,PRrs573,PRrs575,PRrs578,PRrs580,PRrs583,PRrs586,PRrs588,PRrs613,PRrs615,PRrs618,PRrs620,PRrs623,PRrs625,PRrs627,PRrs630,PRrs632,PRrs635,PRrs637,PRrs640,PRrs641,PRrs642,PRrs643,PRrs645,PRrs646,PRrs647,PRrs648,PRrs650,PRrs651,PRrs652,PRrs653,PRrs655,PRrs656,PRrs657,PRrs658,PRrs660,PRrs661,PRrs662,PRrs663,PRrs665,PRrs666,PRrs667,PRrs668,PRrs670,PRrs671,PRrs672,PRrs673,PRrs675,PRrs676,PRrs677,PRrs678,PRrs679,PRrs681,PRrs682,PRrs683,PRrs684,PRrs686,PRrs687,PRrs688,PRrs689,PRrs691,PRrs692,PRrs693,PRrs694,PRrs696,PRrs697,PRrs698,PRrs699,PRrs701,PRrs702,PRrs703,PRrs704,PRrs706,PRrs707,PRrs708,PRrs709,PRrs711,PRrs712,PRrs713,PRrs714,PRrs717,PRrs719
C9B,7/22/2024,23:35,28.7416,-90.2011,2.96,29.49,1.24,28.7427,-90.2007,0,32.0335,2.22320239,,,,,0.0,128.3809093,C9B,2024-07-22 00:00:00,C9B,28.7416,-90.2011,PACE_OCI.20240721T175543.L2.OC_AOP.V3_1.nc,9,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C9old,7/22/2024,22:51,28.7578,-90.2331,1.9,29.57,1.21,28.759,-90.2338,1,29.27211,1.97846876,26.43161,29.27211,1.98496215,1.97846876,2.8405,149.8690572,C9old,2024-07-22 00:00:00,C9old,28.7578,-90.2331,PACE_OCI.20240721T175543.L2.OC_AOP.V3_1.nc,9,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,7/22/2024,12:32,29.2886,-89.7498,0.5,16.96,21.73,29.2899,-89.7497,1,6.8294,0.04791674,5.53992,6.8294,1.98652952,0.04791674,1.28948,144.8783551,A1,2024-07-22 00:00:00,A1,29.2886,-89.7498,PACE_OCI.20240721T193401.L2.OC_AOP.V3_1.nc,9,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2,7/22/2024,11:48,29.2393,-89.75,0.33,18.06,19.64,29.241,-89.75,1,11.13094,0.01365851,7.83232,11.13094,1.81747747,0.01365851,3.29862,189.0313753,A2,2024-07-22 00:00:00,A2,29.2393,-89.75,PACE_OCI.20240721T193401.L2.OC_AOP.V3_1.nc,9,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3,7/22/2024,10:30,29.177,-89.7505,1.08,22.11,15.49,29.1782,-89.75,1,15.99714,0.71494463,9.18021,15.99714,1.99436637,0.71494463,6.81693,141.9894979,A3,2024-07-22 00:00:00,A3,29.177,-89.7505,PACE_OCI.20240721T193401.L2.OC_AOP.V3_1.nc,9,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4,7/22/2024,9:47,29.1326,-89.7499,1.67,25.48,1.61,29.1333,-89.7499,1,20.88085,1.24628306,9.45179,20.88085,1.94533008,1.24628306,11.42906,77.83644865,A4,2024-07-22 00:00:00,A4,29.1326,-89.7499,PACE_OCI.20240721T193401.L2.OC_AOP.V3_1.nc,9,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5,7/22/2024,8:53,29.07,-89.75,3.26,25.88,1.38,29.0702,-89.75,1,30.29269,2.72252169,,,,,0.0,22.23898533,A5,2024-07-22 00:00:00,A5,29.07,-89.75,PACE_OCI.20240721T193401.L2.OC_AOP.V3_1.nc,9,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6,7/22/2024,7:52,29.0083,-89.75,3.42,25.28,1.69,29.0083,-89.7498,0,39.89175,2.84880693,,,,,0.0,19.44909277,A6,2024-07-22 00:00:00,A6,29.0083,-89.75,PACE_OCI.20240721T193401.L2.OC_AOP.V3_1.nc,9,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,7/22/2024,16:49,29.0763,-90.2074,0.35,27.15,13.15,29.0761,-90.2077,1,8.52958,0.02597356,5.72798,8.52958,1.31032132,0.02597356,2.8016,36.66816474,B1,2024-07-22 00:00:00,B1,29.0763,-90.2074,PACE_OCI.20240721T193401.L2.OC_AOP.V3_1.nc,9,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B5,7/22/2024,18:53,29.0212,-90.1067,1.1,28.44,1.7,29.021,-90.1057,1,17.92245,0.86474042,14.68633,17.92245,1.9793644,0.86474042,3.23612,99.74422023,B5,2024-07-22 00:00:00,B5,29.0212,-90.1067,PACE_OCI.20240721T193401.L2.OC_AOP.V3_1.nc,9,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6,7/22/2024,19:35,28.9939,-90.0772,3.21,28.57,0.95,28.9934,-90.0765,0,21.92649,2.55817175,,,,,0.0,87.89860631,B6,2024-07-22 00:00:00,B6,28.9939,-90.0772,PACE_OCI.20240721T193401.L2.OC_AOP.V3_1.nc,9,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C8,7/22/2024,21:47,28.7877,-90.277,2.56,29.77,1.4,28.7904,-90.2773,0,23.77248,2.18916807,,,,,0.0,301.646377,C8,2024-07-22 00:00:00,C8,28.7877,-90.277,PACE_OCI.20240721T193401.L2.OC_AOP.V3_1.nc,9,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C9B,7/22/2024,23:35,28.7416,-90.2011,2.96,29.49,1.24,28.7427,-90.2007,0,32.0335,2.22320239,,,,,0.0,128.3809093,C9B,2024-07-22 00:00:00,C9B,28.7416,-90.2011,PACE_OCI.20240721T193401.L2.OC_AOP.V3_1.nc,9,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C9old,7/22/2024,22:51,28.7578,-90.2331,1.9,29.57,1.21,28.759,-90.2338,1,29.27211,1.97846876,26.43161,29.27211,1.98496215,1.97846876,2.8405,149.8690572,C9old,2024-07-22 00:00:00,C9old,28.7578,-90.2331,PACE_OCI.20240721T193401.L2.OC_AOP.V3_1.nc,9,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,7/22/2024,12:32,29.2886,-89.7498,0.5,16.96,21.73,29.2899,-89.7497,1,6.8294,0.04791674,5.53992,6.8294,1.98652952,0.04791674,1.28948,144.8783551,A1,2024-07-22 00:00:00,A1,29.2886,-89.7498,PACE_OCI.20240722T183018.L2.OC_AOP.V3_1.nc,9,,0,559.6968,0.002154,0.0019980017,0.0020750016,0.0020519998,0.002099,0.002266001,0.0022730008,0.002235001,0.0021060016,0.0021010004,0.0021400005,0.0023030005,0.0022650007,0.00196,0.0019120015,0.0020400006,0.0020710025,0.0020480007,0.0020000022,0.0020760018,0.0022370014,0.0022519995,0.002107,0.001999,0.0020160004,0.0019710008,0.0018880013,0.0018510018,0.0018820018,0.0019000005,0.0018570013,0.0018620025,0.0018739998,0.0018890016,0.0019039996,0.0018940009,0.0018700007,0.0018650014,0.0019080024,0.0019480009,0.0019419994,0.0020050015,0.002068,0.002123,0.0022130013,0.0022519995,0.0022860002,0.0023450013,0.0023860019,0.0024020001,0.0024450012,0.0025430005,0.0026390012,0.002727,0.0028109998,0.002855001,0.0028910004,0.0029100012,0.002960002,0.003025001,0.0030840002,0.0031860005,0.0033049993,0.0034220014,0.0036110021,0.003819,0.0040420014,0.0043010004,0.0045890026,0.004893001,0.005186001,0.0054370016,0.005697001,0.005957,0.006202001,0.006395001,0.006589001,0.0067570005,0.006907001,0.0070309993,0.007186001,0.007352002,0.0074810013,0.0076330006,0.0077760015,0.00788,0.007988,0.008039001,0.008049002,0.007985001,0.007903,0.007846002,0.0077749994,0.007724,0.0076320004,0.007506,0.0072600003,0.006822001,0.005272001,0.0051610004,0.005047001,0.0049480014,0.0048670024,0.004814001,0.0047870018,0.00478,0.0048060007,0.004866002,0.0049600005,0.0050450005,0.005101001,0.0051510017,0.0051809996,0.0051890016,0.00516,0.005128,0.0051430017,0.005178001,0.005240001,0.0052590016,0.0052269995,0.0051740017,0.005093001,0.004977001,0.0048559997,0.0047240015,0.0046030004,0.004482001,0.0043490008,0.004218001,0.004113,0.0040040016,0.003931001,0.0038830005,0.0038510002,0.0038380008,0.0038380008,0.0038560014,0.0038840026,0.0039300006,0.003994001,0.0040730014,0.004161002,0.004276,0.0044030026,0.004531,0.0046810005,0.0048630014,0.005051002,0.005203001,0.005272001,0.0052700005,0.005257001,0.005288001,0.0053620003,0.005423,0.005426001,0.0053590015,0.0052690003,0.0051890016,0.005129002,0.0050570015,0.0049520005,0.004823001,0.0046810005,0.0045229997,0.0043589994,0.0041700006,0.003951,0.0036790017,0.0029890016,0.0024260003
A2,7/22/2024,11:48,29.2393,-89.75,0.33,18.06,19.64,29.241,-89.75,1,11.13094,0.01365851,7.83232,11.13094,1.81747747,0.01365851,3.29862,189.0313753,A2,2024-07-22 00:00:00,A2,29.2393,-89.75,PACE_OCI.20240722T183018.L2.OC_AOP.V3_1.nc,9,0.043896914,0,548.6138,0.0033940002,0.003543999,0.0034800023,0.0032800026,0.0031879991,0.0035640001,0.0035980009,0.0035080016,0.0033940002,0.0031540021,0.0029739998,0.0031860024,0.0033800006,0.003184002,0.0029600002,0.0032100007,0.0032120012,0.0032260008,0.0030799992,0.0030280016,0.003308002,0.0033919998,0.0031940006,0.0030460022,0.0029800013,0.002906002,0.0028620027,0.002844002,0.0028300025,0.0028520003,0.002746001,0.0027480014,0.0027859993,0.002720002,0.0027920008,0.0028520003,0.0027800016,0.0028019994,0.002815999,0.0028140023,0.0028400011,0.002877999,0.0029360019,0.0029780008,0.00299,0.0030260012,0.0030700006,0.0031060018,0.003109999,0.003122002,0.0031620003,0.0032359995,0.0033220015,0.0033759996,0.0033960007,0.0034340024,0.0034920014,0.0034920014,0.0034740008,0.003506001,0.003556002,0.0036620013,0.0037700012,0.0038360022,0.0039560013,0.0041480027,0.004384,0.0046180002,0.004916001,0.005174,0.005422,0.005660001,0.0059060007,0.0061220005,0.0063240007,0.0065199994,0.0067140013,0.006848,0.006926,0.0070200004,0.0071440004,0.0072580017,0.0073760003,0.0074380003,0.007522002,0.007587999,0.007616002,0.0076140016,0.007592,0.0074480027,0.007312,0.007244002,0.0071840025,0.0071099997,0.0069940016,0.0068580024,0.0065819994,0.0060800016,0.004287999,0.004198,0.004126001,0.004064001,0.0040140003,0.003974002,0.003954001,0.003954001,0.003998,0.004032001,0.004136,0.0042439997,0.0043020025,0.0043560006,0.0043760017,0.0043819994,0.004388001,0.0044139996,0.0044420026,0.004478,0.004508,0.004512001,0.0045040026,0.0044899993,0.0044279993,0.004330002,0.0042080022,0.004094001,0.004006002,0.003912002,0.003820002,0.0037360005,0.0036640018,0.0035960004,0.003543999,0.0034979992,0.0034620017,0.0034379996,0.003428001,0.003424,0.0034219995,0.0034400001,0.0034740008,0.0035159998,0.003572002,0.0036360025,0.0036880001,0.003742002,0.003800001,0.0038840026,0.003966,0.0040140003,0.0040000007,0.0039680004,0.003928002,0.0039019994,0.003908001,0.0039220005,0.0038800016,0.0037900023,0.0036820024,0.0035779998,0.0035200007,0.0034620017,0.0033800006,0.0032819994,0.0031640008,0.003056001,0.0029419996,0.0028100014,0.0026619993,0.0024860017,0.002092,0.0018040016
